video_id,title,artist,album,duration,is_explicit
Nc0sB1Bmf-A,残響散歌 - Zankyosanka,Aimer,Zankyosanka,3:05,0
u5heWZ9occg,Wild Side,ALI,Wild Side,2:39,0
hY9eKXTZ_lU,空に歌えば - Sora Ni Utaeba,amazarashi,Chihoutoshi No Mementomori,3:38,0
7_J24H4Ol6g,瞬き - Mabataki,back number,Magic,5:26,0
fMU6nclDzNs,ポラリス - Polaris,BLUE ENCOUNT,q.e.d,3:45,0
o7fgFaXKVa0,Duvet,bôa,Twilight,3:24,0
zFc3ClyNFhQ,シンデレラ - Cinderella,Cidergirl,Cinderella,3:33,0
jH5bSmaXwzE,Mirage (OP Theme to Call of the Night Season 2),Creepy Nuts,Mirage,2:19,0
qutWSXY8PdM,のびしろ - Nobishiro,Creepy Nuts,Case,3:57,0
zArhnXbh3Yc,よふかしのうた - Yofukashino Uta,Creepy Nuts,Yofukashino Uta,4:00,0
SpgK_2j-h0I,堕天 - Daten,Creepy Nuts,Ensemble Play,2:53,0
M50iIZr8U5Y,asphyxia (piano ver.) - Asphyxia (Piano Version),Cö shu Nie,Aurora,4:46,0
Zx4hxiSNTJc,Asura,Cö shu Nie,Aurora,1:35,0
3vws8BKBMWk,fujI,Cö shu Nie,Flos Ex Machina,3:20,0
UDjm0ECHDW4,supercell,Cö shu Nie,OVERKILL,3:12,0
NA9vcsNYr5c,undress me,Cö shu Nie,undress me,3:14,0
OnlPb5UDZUw,葡萄 - Grapes,Cö shu Nie,Aurora,2:37,0
Xx1E-QYlhyM,迷路 ～本編～ - Maze -Continues-,Cö shu Nie,Flos Ex Machina,3:55,0
8adAs8RCkD0,Omae Wa Mou,deadman 死人,Omae Wa Mou,1:54,0
P--4x9DaebI,Bokurano,Eve,Bokurano,3:37,0
dEfl-ObuapA,Dramaturgy,Eve,Bunka,3:59,0
AbmBoFPKQSo,Inochino Tabekata (DanceMix Ver.),Eve,Gunjo Sanka / Yuseiboushi,3:42,0
isY3rtuSsK8,Kaikai Kitan,Eve,Kaikai Kitan / Ao No Waltz,3:42,0
WFRB9zl8tS8,Last Dance,Eve,Otogi,4:01,0
0R5uXlT54hs,Outsider,Eve,Otogi,3:28,0
5q8PJ-ldGoo,black bullet,fripSide,infinite synthesis 2,4:25,0
URR_Nv-6MZs,喜劇 - Comedy,Gen Hoshino,Comedy,3:51,0
pXHPxreNHkA,3分29秒 - 3 min 29 sec,hitorie,PHARMACY,3:30,0
0t0HtFYjcU8,NIGHT DANCER,imase,POP CUBE,3:31,0
KZJPoi21ah4,Pick you up,iri,Pick you up,3:39,0
rCv8E4iWIpg,Reaction (Osu Edit) (feat. Slyleaf),James Landino,Osu! James Landino Collection,2:03,0
S0j4mcEFqfo,大脳的なランデブー,Kanaria,大脳的なランデブー,2:13,0
r_iK0Fw66kw,Abracada-Boo,Kaori Ishihara,Abracada-Boo,4:36,0
NMA_isZYsYQ,KICK BACK,Kenshi Yonezu,KICK BACK,3:14,0
_PNFMuT6e4o,白日 - Hakujitsu,King Gnu,Ceremony,4:37,0
VDuDQNkSC6g,街のドルフィン - Machi No Dorufin,Kingo Hamada,midnight cruisin',3:53,0
